,id,Brand,Type,CPUbrand,SSD,GPUbrand,RAM,OS,Touchscreen,Weight,Price,PPI
90,19,ACER,Ultraportable,Intel,256 GB,Intel,4,Windows,No,Medium,29990,141.21199808219862
91,20,DELL,Notebook,Intel,512 GB,Intel,8,Windows,Yes,Light,59990,157.3505121487356
92,21,ASUS,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Medium,36990,141.21199808219862
93,22,HP,Gaming,AMD,512 GB,NVIDIA,8,Windows,No,Heavy,59990,141.21199808219862
94,23,LENOVO,Notebook,Intel,512 GB,Intel,8,Windows,No,Medium,37490,100.45466986113651
95,24,LENOVO,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Medium,36490,157.3505121487356
96,1,ASUS,Ultraportable,Intel,512 GB,Intel,16,Windows,No,Light,74990,242.5880862528841
97,2,HP,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Medium,64775,141.21199808219862
98,3,ASUS,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Light,42990,157.3505121487356
99,4,ASUS,Notebook,Intel,512 GB,Intel,8,Windows,No,Medium,38990,141.21199808219862
100,5,HP,Ultraportable,AMD,512 GB,AMD,8,Windows,No,Light,49215,157.3505121487356
101,6,ASUS,Ultraportable,Intel,512 GB,Intel,8,Windows,Yes,Medium,42990,141.21199808219862
102,7,INFINIX,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Light,32990,157.3505121487356
